,model,selling_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,company
2686,Hyundai i10 Sportz 1.2,345000,2014,Dealer,73000,First Owner,Petrol,Manual,Hyundai
2687,Honda Jazz 1.2 V AT i VTEC,725000,2018,Dealer,15000,First Owner,Petrol,Automatic,Honda
2688,Honda Amaze S i-Dtech,450000,2013,Dealer,29500,First Owner,Diesel,Manual,Honda
2689,Audi A3 35 TDI Premium Plus,1650000,2016,Dealer,41000,First Owner,Diesel,Automatic,Audi
2690,Hyundai Creta 1.6 VTVT AT SX Plus,1039000,2016,Trustmark Dealer,25451,First Owner,Petrol,Automatic,Hyundai
2691,Honda Amaze S i-Vtech,350000,2013,Dealer,45000,First Owner,Petrol,Manual,Honda
2692,Skoda Superb 1.8 TSI MT,375000,2011,Dealer,61000,First Owner,Petrol,Manual,Skoda
2693,Maruti Alto K10 VXI AGS Optional,350000,2016,Dealer,28000,First Owner,Petrol,Automatic,Maruti
2694,Honda Jazz 1.2 S i VTEC,561000,2015,Dealer,15000,First Owner,Petrol,Manual,Honda
2695,Maruti Alto 800 CNG LXI Optional,280000,2016,Dealer,26000,First Owner,CNG,Manual,Maruti
2696,Toyota Innova Crysta 2016-2020 2.4 GX MT BSIV,1650000,2018,Dealer,52000,First Owner,Diesel,Manual,Toyota
2697,Maruti Celerio ZXI,425000,2016,Dealer,43782,First Owner,Petrol,Manual,Maruti
2698,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,1825000,2017,Dealer,80000,First Owner,Diesel,Automatic,Toyota
2699,Maruti Ertiga ZDI Plus,825000,2016,Dealer,56000,First Owner,Diesel,Manual,Maruti
2700,Maruti Wagon R AMT VXI,505000,2017,Individual,15000,First Owner,Petrol,Automatic,Maruti
2701,Honda City 2017-2020 GXi,175000,2007,Dealer,85000,First Owner,Petrol,Manual,Honda
2702,Maruti Ertiga VDI,855000,2017,Dealer,60000,First Owner,Diesel,Manual,Maruti
2703,Hyundai Verna SX AT Diesel,751000,2016,Dealer,63000,First Owner,Diesel,Automatic,Hyundai
2704,Toyota Camry 2.5 G,1250000,2016,Dealer,119851,First Owner,Petrol,Automatic,Toyota
2705,Mercedes-Benz GLE Class 350d,4375000,2017,Dealer,76900,First Owner,Diesel,Automatic,Mercedes-Benz
2706,Chevrolet Beat LT,276000,2017,Dealer,31370,First Owner,Petrol,Manual,Chevrolet
2707,Maruti Baleno Sigma 1.2,490000,2018,Individual,30000,First Owner,Petrol,Manual,Maruti
2708,Maruti Ritz VDi,390000,2013,Dealer,77000,First Owner,Diesel,Manual,Maruti
2709,Honda Jazz 1.5 V i DTEC,611000,2015,Dealer,82503,First Owner,Diesel,Manual,Honda
2710,Toyota Etios Liva 1.4 VD Dual Tone,600000,2018,Individual,40000,First Owner,Diesel,Manual,Toyota
2711,Ford Figo Petrol ZXI,295000,2013,Dealer,34000,First Owner,Petrol,Manual,Ford
2712,Honda Jazz 1.5 S i DTEC,484999,2016,Dealer,39000,First Owner,Diesel,Manual,Honda
2713,Maruti Swift VDI,685000,2018,Individual,54000,First Owner,Diesel,Manual,Maruti
2714,Toyota Innova Crysta 2016-2020 2.4 ZX AT,2089999,2018,Dealer,42000,First Owner,Diesel,Automatic,Toyota
2715,Volkswagen Vento 1.2 TSI Highline AT,499000,2014,Dealer,45260,First Owner,Petrol,Automatic,Volkswagen
2716,Maruti Vitara Brezza LDi Option,710000,2016,Dealer,110000,First Owner,Diesel,Manual,Maruti
2717,Renault Duster 85PS Diesel RxE,550000,2014,Dealer,79600,First Owner,Diesel,Manual,Renault
2718,Maruti Ertiga VXI CNG,685000,2015,Dealer,31000,First Owner,CNG,Manual,Maruti
2719,Hyundai EON Magna Plus Option,315000,2016,Dealer,9800,First Owner,Petrol,Manual,Hyundai
2720,Maruti Ciaz 1.4 AT Alpha,844999,2017,Dealer,27001,First Owner,Petrol,Automatic,Maruti
2721,Honda City 1.5 V AT,290000,2009,Dealer,67500,First Owner,Petrol,Automatic,Honda
2722,Volkswagen Polo 2015-2019 GT TSI,680000,2016,Dealer,22500,First Owner,Petrol,Automatic,Volkswagen
2723,Hyundai Verna 1.6 CRDi SX,1100000,2017,Individual,50000,First Owner,Diesel,Manual,Hyundai
2724,Maruti Ignis 1.3 Delta,480000,2017,Individual,80000,First Owner,Diesel,Manual,Maruti
2725,Renault Duster 85PS Diesel RxZ,850000,2016,Individual,50000,First Owner,Diesel,Manual,Renault
2726,Volkswagen Ameo 1.5 TDI Highline,535000,2016,Individual,60000,First Owner,Diesel,Manual,Volkswagen
2727,Maruti Wagon R LXI Optional,325000,2014,Dealer,34000,First Owner,Petrol,Manual,Maruti
2728,Toyota Innova 2.5 VX (Diesel) 7 Seater,1140000,2014,Dealer,79000,First Owner,Diesel,Manual,Toyota
2729,Hyundai Grand i10 Sportz,450000,2016,Dealer,47500,First Owner,Petrol,Manual,Hyundai
2730,Hyundai i20 Active 1.4 SX,850000,2018,Individual,25000,First Owner,Diesel,Manual,Hyundai
2731,Maruti Alto 800 LXI,180000,2013,Individual,60000,First Owner,Petrol,Manual,Maruti
2732,Mahindra Bolero 2011-2019 mHAWK D70 SLX,448000,2011,Dealer,31000,First Owner,Diesel,Manual,Mahindra
2733,Maruti Swift Dzire VDI,580000,2014,Dealer,90000,First Owner,Diesel,Manual,Maruti
2734,Maruti Wagon R LXI CNG,325000,2015,Dealer,48000,First Owner,CNG,Manual,Maruti
2735,Mahindra Ssangyong Rexton RX6,900000,2014,Individual,100000,First Owner,Diesel,Manual,Mahindra
2736,BMW X1 sDrive 20d xLine,2850000,2016,Dealer,14000,First Owner,Diesel,Automatic,BMW
2737,Mahindra XUV500 W6 1.99 mHawk,1000000,2018,Individual,60000,First Owner,Diesel,Manual,Mahindra
2738,Maruti Alto K10 2010-2014 VXI,150000,2010,Dealer,69000,First Owner,Petrol,Manual,Maruti
2739,Mercedes-Benz C-Class C 220 CDI Avantgarde,3800000,2019,Dealer,7000,First Owner,Diesel,Automatic,Mercedes-Benz
2740,Tata Manza Aura Quadrajet,210000,2011,Individual,80000,First Owner,Diesel,Manual,Tata
2741,BMW 5 Series 520i Luxury Line,3000000,2016,Dealer,30000,First Owner,Petrol,Automatic,BMW
2742,Maruti Ertiga VDI,645000,2014,Dealer,68880,First Owner,Diesel,Manual,Maruti
2743,Mahindra Bolero 2011-2019 SLE,755000,2018,Dealer,43214,First Owner,Diesel,Manual,Mahindra
2744,Maruti Ciaz AT ZXi,690000,2016,Dealer,59000,First Owner,Petrol,Automatic,Maruti
2745,BMW 3 Series 320d Sport Line,1685000,2014,Dealer,55000,First Owner,Diesel,Automatic,BMW
2746,Renault Duster 85PS Diesel RxL Optional,625000,2013,Dealer,47000,First Owner,Diesel,Manual,Renault
2747,Ford Ecosport 2015-2021 1.5 Diesel Trend,611000,2015,Dealer,71893,First Owner,Diesel,Manual,Ford
2748,Mahindra KUV100 NXT G80 K4 Plus,570000,2019,Individual,15000,First Owner,Petrol,Manual,Mahindra
2749,Chevrolet Sail 1.2 Base,270000,2015,Individual,90000,First Owner,Petrol,Manual,Chevrolet
2750,Volkswagen Vento 1.5 TDI Highline Plus 16 Alloy,699000,2015,Dealer,48000,First Owner,Diesel,Manual,Volkswagen
2751,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,750000,2011,Individual,80000,First Owner,Diesel,Manual,Toyota
2752,Audi Q3 2.0 TDI Quattro,2600000,2017,Dealer,32000,First Owner,Diesel,Automatic,Audi
2753,Skoda Fabia 1.2 MPI Active,200000,2009,Dealer,51010,First Owner,Petrol,Manual,Skoda
2754,Hyundai Xcent 1.1 CRDi Base,350000,2017,Individual,110000,First Owner,Diesel,Manual,Hyundai
2755,Volkswagen Vento 1.2 TSI Highline AT,475000,2013,Dealer,51500,First Owner,Petrol,Automatic,Volkswagen
2756,Honda Brio S Option MT,296000,2012,Dealer,47000,First Owner,Petrol,Manual,Honda
2757,Tata Sumo MKII LX BS IV,385000,2014,Individual,90000,First Owner,Diesel,Manual,Tata
2758,Ford Figo Aspire Facelift,600000,2018,Individual,70000,First Owner,Diesel,Manual,Ford
2759,Maruti Alto 800 LXI,285000,2016,Dealer,65000,First Owner,Petrol,Manual,Maruti
2760,Skoda Fabia 1.6 MPI Elegance,280000,2013,Individual,50000,First Owner,Petrol,Manual,Skoda
2761,Renault Duster 85PS Diesel RxL Option,500000,2013,Individual,38900,First Owner,Diesel,Manual,Renault
2762,Skoda Octavia Ambition Plus 1.8 TSI AT,1399000,2017,Dealer,22000,First Owner,Petrol,Automatic,Skoda
2763,Mercedes-Benz C-Class C 220 CDI Avantgarde,1400000,2013,Dealer,89172,First Owner,Diesel,Automatic,Mercedes-Benz
2764,BMW 1 Series 118d Sport Line,1375000,2013,Dealer,39800,First Owner,Diesel,Automatic,BMW
2765,Toyota Innova Crysta 2016-2020 2.4 VX MT 8 STR,1925000,2018,Dealer,25000,First Owner,Diesel,Manual,Toyota
2766,Mahindra XUV500 W10 AWD,1050000,2015,Dealer,140000,First Owner,Diesel,Manual,Mahindra
2767,Toyota Innova 2.5 G (Diesel) 7 Seater,1125000,2016,Dealer,108000,First Owner,Diesel,Manual,Toyota
2768,Toyota Etios Liva GD,315000,2012,Individual,120000,First Owner,Diesel,Manual,Toyota
2769,Maruti Swift VDI BSIV,610000,2017,Dealer,95079,First Owner,Diesel,Manual,Maruti
2770,Honda City CNG,495000,2013,Dealer,61000,First Owner,CNG,Manual,Honda
2771,Hyundai Verna CRDi 1.6 AT SX Plus,975000,2017,Dealer,25000,First Owner,Diesel,Automatic,Hyundai
2772,Hyundai i20 1.2 Spotz,615000,2018,Dealer,27000,First Owner,Petrol,Manual,Hyundai
2773,Chevrolet Aveo U-VA 1.2 LS,150000,2009,Individual,120000,First Owner,Petrol,Manual,Chevrolet
2774,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),300000,2012,Individual,130000,First Owner,Diesel,Manual,Fiat
2775,Tata Indigo LS,111000,2007,Dealer,131000,First Owner,Diesel,Manual,Tata
2776,Maruti Swift Dzire ZXI 1.2,324000,2011,Dealer,120000,First Owner,Petrol,Manual,Maruti
2777,Hyundai Grand i10 Magna,440000,2014,Dealer,36000,First Owner,Petrol,Manual,Hyundai
2778,Maruti Ciaz Delta AT,1100000,2019,Dealer,2950,First Owner,Petrol,Automatic,Maruti
2779,Maruti Celerio VXi AMT,450000,2016,Dealer,16393,First Owner,Petrol,Automatic,Maruti
2780,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,550000,2010,Individual,125000,First Owner,Diesel,Manual,Toyota
2781,Volkswagen Jetta 1.9 Highline TDI,425000,2011,Individual,100000,First Owner,Diesel,Automatic,Volkswagen
2782,Mahindra XUV500 AT W6 2WD,1160000,2017,Dealer,37000,First Owner,Diesel,Automatic,Mahindra
2783,Volkswagen Polo 1.2 MPI Trendline,520000,2017,Dealer,13500,First Owner,Petrol,Manual,Volkswagen
2784,Mahindra Scorpio S10 8 Seater,925000,2015,Dealer,82000,First Owner,Diesel,Manual,Mahindra
2785,Maruti Ertiga VDI,625000,2013,Dealer,42406,First Owner,Diesel,Manual,Maruti
2786,Mahindra KUV 100 G80 K4 Plus 6Str,450000,2017,Dealer,20000,First Owner,Petrol,Manual,Mahindra
2787,Volkswagen Ameo 1.2 MPI Highline,450000,2017,Individual,40000,First Owner,Petrol,Manual,Volkswagen
2788,Honda City i DTec SV,650000,2015,Dealer,65122,First Owner,Diesel,Manual,Honda
2789,Honda City 1.5 S MT,325000,2010,Dealer,55000,First Owner,Petrol,Manual,Honda
2790,Tata Tiago NRG Petrol,525000,2018,Dealer,7000,First Owner,Petrol,Manual,Tata
2791,Mercedes-Benz M-Class ML 350 4Matic,1250000,2011,Dealer,74000,First Owner,Diesel,Automatic,Mercedes-Benz
2792,Maruti Wagon R LXI CNG,340000,2014,Dealer,87500,First Owner,CNG,Manual,Maruti
2793,Nissan Micra Active XL ICC WT20 SE,490000,2018,Dealer,6111,First Owner,Petrol,Manual,Nissan
2794,Maruti Baleno Delta 1.2,625000,2018,Dealer,17000,First Owner,Petrol,Manual,Maruti
2795,Tata Zest Quadrajet 1.3 75PS XMS,495000,2016,Dealer,38000,First Owner,Diesel,Manual,Tata
2796,Toyota Qualis GS G9,180000,2001,Individual,257000,First Owner,Diesel,Manual,Toyota
2797,Maruti Wagon R AMT VXI,425000,2016,Individual,30000,First Owner,Petrol,Automatic,Maruti
2798,Maruti Celerio VXI CNG,529000,2019,Dealer,19000,First Owner,CNG,Manual,Maruti
2799,Hyundai Grand i10 Sportz,480000,2015,Individual,13000,First Owner,Petrol,Manual,Hyundai
2800,Hyundai Creta 1.6 CRDi SX Plus,1360000,2018,Dealer,65411,First Owner,Diesel,Manual,Hyundai
2801,Maruti Ciaz 1.4 Zeta,810000,2018,Dealer,20286,First Owner,Petrol,Manual,Maruti
2802,Maruti Swift 1.3 LXI,140000,2007,Individual,76000,First Owner,Petrol,Manual,Maruti
2803,Chevrolet Aveo 1.4 CNG,199000,2012,Dealer,77000,First Owner,CNG,Manual,Chevrolet
2804,Maruti Vitara Brezza ZDi,800000,2017,Individual,50000,First Owner,Diesel,Manual,Maruti
2805,Maruti Swift VXI BSIV,575000,2016,Dealer,30000,First Owner,Petrol,Manual,Maruti
2806,Hyundai i10 Sportz AT,360000,2013,Dealer,27562,First Owner,Petrol,Automatic,Hyundai
2807,Land Rover Discovery Sport SD4 HSE Luxury,5000000,2015,Individual,40000,First Owner,Diesel,Automatic,Land
2808,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,1025000,2019,Dealer,29000,First Owner,Diesel,Manual,Maruti
2809,Maruti Ertiga VXI Petrol,800000,2018,Dealer,23206,First Owner,Petrol,Manual,Maruti
2810,Maruti Alto 800 LXI Optional,330000,2017,Dealer,33000,First Owner,Petrol,Manual,Maruti
2811,Hyundai i20 Asta 1.4 CRDi,525000,2015,Individual,190000,First Owner,Diesel,Manual,Hyundai
2812,Maruti Ciaz ZXi Plus,635000,2016,Dealer,53000,First Owner,Petrol,Manual,Maruti
2813,Jeep Compass 2.0 Limited,1645000,2017,Dealer,21356,First Owner,Diesel,Manual,Jeep
2814,Volkswagen Vento Petrol Comfortline,325000,2012,Dealer,33500,First Owner,Petrol,Manual,Volkswagen
2815,Tata Bolt Quadrajet XT,375000,2016,Dealer,210000,First Owner,Diesel,Manual,Tata
2816,Hyundai i20 Asta 1.2,400000,2013,Individual,80000,First Owner,Petrol,Manual,Hyundai
2817,Toyota Etios GD,625000,2016,Dealer,115000,First Owner,Diesel,Manual,Toyota
2818,Honda City 1.5 V AT,375000,2010,Dealer,105000,First Owner,Petrol,Automatic,Honda
2819,Honda City 2017-2020 CVT,225000,2007,Dealer,62683,First Owner,Petrol,Automatic,Honda
2820,Toyota Etios Cross 1.2L G,509999,2015,Individual,45500,First Owner,Petrol,Manual,Toyota
2821,Maruti Swift VDI BSIV,545000,2015,Dealer,41000,First Owner,Diesel,Manual,Maruti
2822,BMW 5 Series 523i,1399000,2010,Dealer,21000,First Owner,Petrol,Automatic,BMW
2823,Volkswagen Vento Diesel Highline,300000,2010,Individual,106000,First Owner,Diesel,Manual,Volkswagen
2824,Volkswagen Polo GT TSI,535000,2014,Dealer,53000,First Owner,Petrol,Automatic,Volkswagen
2825,Maruti Alto K10 LXI,180000,2010,Dealer,70000,First Owner,Petrol,Manual,Maruti
2826,Hyundai i20 Sportz 1.4 CRDi,434999,2012,Dealer,40000,First Owner,Diesel,Manual,Hyundai
2827,Skoda Rapid 1.5 TDI AT Elegance,750000,2016,Dealer,66000,First Owner,Diesel,Automatic,Skoda
2828,Maruti Swift VXI BSIV,425000,2014,Dealer,41305,First Owner,Petrol,Manual,Maruti
2829,Honda City i DTec S,545000,2014,Dealer,54027,First Owner,Diesel,Manual,Honda
2830,Renault KWID Climber 1.0 AMT,411000,2017,Dealer,36000,First Owner,Petrol,Automatic,Renault
2831,Ford Endeavour 3.2 Titanium AT 4X4,2875000,2017,Dealer,43000,First Owner,Diesel,Automatic,Ford
2832,Skoda Octavia Style Plus 1.8 TSI AT,1600000,2017,Individual,50000,First Owner,Petrol,Automatic,Skoda
2833,Volkswagen CrossPolo 1.2 MPI,570000,2015,Dealer,56000,First Owner,Petrol,Manual,Volkswagen
2834,Mercedes-Benz CLA 200 CGI Sport,2590000,2018,Dealer,14500,First Owner,Petrol,Automatic,Mercedes-Benz
2835,Audi A6 2.0 TDI,1600000,2013,Dealer,74000,First Owner,Diesel,Automatic,Audi
2836,Maruti Swift Dzire Vdi BSIV,254999,2008,Dealer,82400,First Owner,Diesel,Manual,Maruti
2837,Maruti Alto 800 LXI,260000,2014,Dealer,62485,First Owner,Petrol,Manual,Maruti
2838,Maruti Ritz ZDi,421000,2014,Individual,120000,First Owner,Diesel,Manual,Maruti
2839,Maruti 800 AC,34000,1999,Individual,120000,First Owner,Petrol,Manual,Maruti
2840,Hyundai EON Era Plus,235000,2012,Dealer,57000,First Owner,Petrol,Manual,Hyundai
2841,Maruti Ciaz VDi Plus,710000,2016,Dealer,59000,First Owner,Diesel,Manual,Maruti
2842,Toyota Innova Crysta 2016-2020 2.4 VX MT,1700000,2016,Dealer,65000,First Owner,Diesel,Manual,Toyota
2843,Maruti Wagon R VXI BS IV,300000,2012,Individual,30000,First Owner,Petrol,Manual,Maruti
2844,Maruti Wagon R CNG LXI,265000,2013,Dealer,57000,First Owner,CNG,Manual,Maruti
2845,Toyota Glanza V CVT,890000,2019,Dealer,9000,First Owner,Petrol,Automatic,Toyota
2846,Maruti Swift VXI Optional,450000,2015,Individual,20000,First Owner,Petrol,Manual,Maruti
2847,Ford Figo Petrol Titanium,290000,2015,Individual,26000,First Owner,Petrol,Manual,Ford
2848,Honda WR-V i-VTEC VX,750000,2017,Dealer,27724,First Owner,Petrol,Manual,Honda
2849,Tata Nexon 1.5 Revotorq XZ,1000000,2018,Individual,25000,First Owner,Diesel,Manual,Tata
2850,Hyundai i20 1.2 Era,310000,2012,Individual,48000,First Owner,Petrol,Manual,Hyundai
2851,Hyundai i20 2015-2017 Sportz Option 1.2,545000,2015,Dealer,55199,First Owner,Petrol,Manual,Hyundai
2852,Honda Amaze S i-Dtech,475000,2015,Dealer,61058,First Owner,Diesel,Manual,Honda
2853,Toyota Innova Crysta 2016-2020 2.4 VX MT BSIV,1625000,2017,Individual,60000,First Owner,Diesel,Manual,Toyota
2854,Honda City i VTEC CVT VX,695000,2014,Trustmark Dealer,36348,First Owner,Petrol,Automatic,Honda
2855,Renault Pulse RxL,335000,2015,Individual,50000,First Owner,Diesel,Manual,Renault
2856,Renault KWID RXL,331000,2018,Dealer,15000,First Owner,Petrol,Manual,Renault
2857,Chevrolet Enjoy TCDi LS 8 Seater,345000,2014,Dealer,78000,First Owner,Diesel,Manual,Chevrolet
2858,Maruti Baleno Alpha 1.2,615000,2016,Dealer,37072,First Owner,Petrol,Manual,Maruti
2859,Hyundai i10 Era 1.1,210000,2008,Dealer,45000,First Owner,Petrol,Manual,Hyundai
2860,Tata Manza Aura (ABS) Safire,265000,2011,Dealer,50000,First Owner,Petrol,Manual,Tata
2861,Skoda Laura Ambiente 2.0 TDI CR MT,450000,2012,Dealer,77000,First Owner,Diesel,Manual,Skoda
2862,Chevrolet Aveo 1.6 LT,145000,2006,Dealer,32000,First Owner,Petrol,Manual,Chevrolet
2863,BMW 3 Series 320d Corporate Edition,850000,2011,Dealer,51000,First Owner,Diesel,Automatic,BMW
2864,Mahindra Bolero DI,250000,2007,Individual,120000,First Owner,Diesel,Manual,Mahindra
2865,Skoda Superb Elegance 2.0 TDI CR AT,975000,2014,Dealer,79000,First Owner,Diesel,Automatic,Skoda
2866,Mahindra Xylo E8 ABS 8S BSIV,350000,2010,Dealer,60000,First Owner,Diesel,Manual,Mahindra
2867,Maruti Swift ZXI Plus,700000,2018,Individual,16000,First Owner,Petrol,Manual,Maruti
2868,Honda Amaze S Diesel,425000,2013,Dealer,121877,First Owner,Diesel,Manual,Honda
2869,Maruti Wagon R VXI,325000,2014,Dealer,44000,First Owner,Petrol,Manual,Maruti
2870,Toyota Fortuner 2016-2021 2.8 2WD MT BSIV,2400000,2017,Individual,60000,First Owner,Diesel,Manual,Toyota
2871,Maruti Wagon R VXi BSII,275000,2012,Individual,80000,First Owner,Petrol,Manual,Maruti
2872,Maruti Swift VXI BSIV,311000,2010,Dealer,82000,First Owner,Petrol,Manual,Maruti
2873,Hyundai Grand i10 Magna AT,511000,2016,Dealer,28000,First Owner,Petrol,Automatic,Hyundai
2874,Honda City i VTEC CVT VX,819999,2015,Dealer,23461,First Owner,Petrol,Automatic,Honda
2875,Honda Jazz 1.2 V AT i VTEC,735000,2017,Individual,19000,First Owner,Petrol,Automatic,Honda
2876,Skoda Rapid 1.6 MPI AT Ambition Plus,465000,2014,Dealer,62063,First Owner,Petrol,Automatic,Skoda
2877,Maruti Wagon R VXI,372000,2015,Dealer,33766,First Owner,Petrol,Manual,Maruti
2878,Audi Q7 2006-2020 3.0 TDI quattro,1873999,2013,Dealer,128000,First Owner,Diesel,Automatic,Audi
2879,Maruti Swift Dzire Vdi BSIV,400000,2011,Dealer,95398,First Owner,Diesel,Manual,Maruti
2880,Volkswagen Vento Petrol Comfortline,425000,2012,Dealer,71000,First Owner,Petrol,Manual,Volkswagen
2881,Honda City V MT,625000,2015,Dealer,51000,First Owner,Petrol,Manual,Honda
2882,Mahindra Verito 1.5 D6 BSIV,372000,2014,Individual,90000,First Owner,Diesel,Manual,Mahindra
2883,Tata Nexon 1.5 Revotorq XE,725000,2018,Individual,50000,First Owner,Diesel,Manual,Tata
2884,Maruti Celerio Green VXI,310000,2014,Individual,91000,First Owner,CNG,Manual,Maruti
2885,Maruti Eeco 5 Seater Standard BSIV,250000,2014,Dealer,161209,First Owner,Petrol,Manual,Maruti
2886,Maruti Ciaz AT ZXi,725000,2016,Dealer,33000,First Owner,Petrol,Automatic,Maruti
2887,Hyundai i20 1.2 Asta,700000,2017,Individual,10000,First Owner,Petrol,Manual,Hyundai
2888,Maruti Alto LX,185000,2011,Individual,50000,First Owner,Petrol,Manual,Maruti
2889,Honda Jazz 1.2 SV i VTEC,650000,2017,Dealer,32714,First Owner,Petrol,Manual,Honda
2890,Tata Tiago 1.2 Revotron XZ Plus,550000,2019,Individual,10000,First Owner,Petrol,Manual,Tata
2891,Mahindra Bolero 2011-2019 Plus AC BSIV PS,630000,2016,Individual,80000,First Owner,Diesel,Manual,Mahindra
2892,Ford Fiesta 1.5 TDCi Ambiente,475000,2015,Individual,120000,First Owner,Diesel,Manual,Ford
2893,Volkswagen Vento Petrol Trendline,335000,2011,Dealer,45000,First Owner,Petrol,Manual,Volkswagen
2894,Audi A4 2.0 TDI,1550000,2014,Dealer,67700,First Owner,Diesel,Automatic,Audi
2895,Maruti Ertiga VXI CNG,800000,2017,Dealer,53393,First Owner,CNG,Manual,Maruti
2896,Maruti Swift Dzire VDi,390000,2011,Dealer,75220,First Owner,Diesel,Manual,Maruti
2897,Toyota Innova 2.5 G4 Diesel 8-seater,490000,2008,Dealer,142000,First Owner,Diesel,Manual,Toyota
2898,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,765000,2016,Dealer,56000,First Owner,Diesel,Manual,Ford
2899,Maruti Swift VXI,400000,2013,Individual,97000,First Owner,Petrol,Manual,Maruti
2900,Maruti Swift VDI BSIV,498000,2015,Individual,40200,First Owner,Diesel,Manual,Maruti
2901,Datsun GO A EPS,295000,2016,Dealer,29823,First Owner,Petrol,Manual,Datsun
2902,Hyundai Santro Xing XG AT,125000,2005,Dealer,32000,First Owner,Petrol,Automatic,Hyundai
2903,BMW 3 Series GT 320d Luxury Line,1825000,2015,Dealer,65000,First Owner,Diesel,Automatic,BMW
2904,Maruti Wagon R LXI,245000,2011,Dealer,48000,First Owner,Petrol,Manual,Maruti
2905,Audi A4 2.0 TDI Multitronic,1300000,2012,Dealer,85250,First Owner,Diesel,Automatic,Audi
2906,Honda City i VTEC SV,615000,2015,Dealer,42000,First Owner,Petrol,Manual,Honda
2907,Maruti Swift Dzire VXI,430000,2012,Individual,58000,First Owner,Petrol,Manual,Maruti
2908,Maruti Ignis Zeta AMT,600000,2019,Dealer,9343,First Owner,Petrol,Automatic,Maruti
2909,Mahindra KUV 100 mFALCON G80 K2 Plus,350000,2017,Individual,70000,First Owner,Petrol,Manual,Mahindra
2910,Maruti Wagon R LXI CNG,415000,2016,Dealer,22000,First Owner,CNG,Manual,Maruti
2911,Volkswagen Vento 1.5 TDI Comfortline,550000,2014,Dealer,95000,First Owner,Diesel,Manual,Volkswagen
2912,Honda City i-VTEC CVT ZX,1400000,2019,Individual,25000,First Owner,Petrol,Automatic,Honda
2913,Maruti Vitara Brezza ZDi,900000,2018,Dealer,66470,First Owner,Diesel,Manual,Maruti
2914,Hyundai Creta 1.6 VTVT E Plus,819999,2016,Dealer,27700,First Owner,Petrol,Manual,Hyundai
2915,Volkswagen Jetta 1.4 TSI Comfortline,545000,2014,Dealer,51000,First Owner,Petrol,Manual,Volkswagen
2916,Skoda Octavia 1.8 TSI AT Style Plus,1500000,2017,Dealer,40000,First Owner,Petrol,Automatic,Skoda
2917,BMW 3 Series GT Luxury Line,2800000,2015,Dealer,40000,First Owner,Diesel,Automatic,BMW
2918,Volkswagen Vento 1.5 TDI Highline,509999,2014,Dealer,71000,First Owner,Diesel,Manual,Volkswagen
2919,Mahindra Bolero 2011-2019 ZLX,550000,2012,Individual,100000,First Owner,Diesel,Manual,Mahindra
2920,Tata Tiago 1.2 Revotron XZ,370000,2016,Individual,80000,First Owner,Petrol,Manual,Tata
2921,Toyota Etios G,350000,2014,Individual,75000,First Owner,Petrol,Manual,Toyota
2922,Hyundai i10 Magna 1.1L,335000,2014,Dealer,61696,First Owner,Petrol,Manual,Hyundai
2923,Mahindra XUV500 W4,600000,2013,Individual,60000,First Owner,Diesel,Manual,Mahindra
2924,Mercedes-Benz CLS 250 CDI,700000,2011,Dealer,103000,First Owner,Diesel,Automatic,Mercedes-Benz
2925,Maruti Swift AMT VXI,600000,2018,Individual,35000,First Owner,Petrol,Automatic,Maruti
2926,Hyundai i20 Sportz Option 1.4 CRDi,550000,2016,Individual,85000,First Owner,Diesel,Manual,Hyundai
2927,Maruti Ertiga VXI CNG,690000,2015,Dealer,42895,First Owner,CNG,Manual,Maruti
2928,Maruti Alto 800 LXI,300000,2016,Dealer,9223,First Owner,Petrol,Manual,Maruti
2929,Honda Brio S MT,275000,2012,Dealer,60000,First Owner,Petrol,Manual,Honda
2930,Hyundai Verna 1.6 CRDi S,925000,2017,Dealer,45910,First Owner,Diesel,Manual,Hyundai
2931,Hyundai i20 Magna Plus,590000,2019,Dealer,8405,First Owner,Petrol,Manual,Hyundai
2932,Hyundai Creta 1.6 CRDi SX Plus,1050000,2017,Dealer,51050,First Owner,Diesel,Manual,Hyundai
2933,Tata Nexon 1.2 Revotron XM,690000,2017,Dealer,17000,First Owner,Petrol,Manual,Tata
2934,Honda Brio E MT,310000,2014,Dealer,51000,First Owner,Petrol,Manual,Honda
2935,Volkswagen Vento 2013-2015 1.6 Comfortline,465000,2014,Dealer,59000,First Owner,Petrol,Manual,Volkswagen
2936,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,1575000,2017,Dealer,100000,First Owner,Diesel,Automatic,Toyota
2937,Skoda Rapid 1.6 MPI AT Ambition BSIV,825000,2017,Dealer,28000,First Owner,Petrol,Automatic,Skoda
2938,MG Hector Sharp AT BSIV,1855000,2019,Dealer,8500,First Owner,Petrol,Automatic,MG
2939,Hyundai Grand i10 Sportz,455000,2016,Dealer,13000,First Owner,Petrol,Manual,Hyundai
